Postal_District,Avg_MRT,Avg_Hawker,Avg_Mall,Property_Count,Total_Avg_Amenities
1,9.6,3.06,2.68,1638,15.34
2,8.04,3.76,2.99,1233,14.79
3,3.31,4.38,1.63,4888,9.32
4,1.24,1.34,0.34,2141,2.92
5,0.89,1.65,1.33,8654,3.87
6,10.02,2.96,7.11,712,20.09
7,9.71,2.72,11.59,1363,24.02
8,4.52,3.14,2.54,1481,10.2
9,5.63,1.96,11.06,5926,18.65
10,2.47,1.63,1.91,7127,6.01
11,2.61,1.28,2.1,2677,5.99
12,2.14,3.35,1.7,3273,7.19
13,1.92,0.85,0.86,2302,3.63
14,2.9,3.16,0.52,5244,6.58
15,1.95,1.79,2.43,9924,6.17
16,1.35,1.73,0.28,4057,3.36
17,0.0,0.03,0.37,2362,0.4
18,0.99,0.68,1.49,7126,3.16
19,2.72,0.78,1.22,9937,4.72
20,1.97,1.63,1.18,2929,4.78
21,1.05,1.24,1.42,5857,3.71
22,1.06,1.39,1.65,2303,4.1
23,2.61,0.15,1.83,5870,4.59
25,2.11,0.69,3.54,953,6.34
26,1.06,0.68,0.24,4334,1.98
27,0.79,0.96,1.44,2800,3.19
28,3.32,1.09,1.2,1557,5.61
